player,player_id,pie,ts_pct,dreb_pct,efg_pct,def_rating,treb_pct,usg_pct,oreb_pct,pace,ast_ratio,ast_tov,ast_pct,off_rating
Joe Johnson,2207.0,0.084000000000000005,0.50800000000000001,0.129,0.48699999999999999,105.54900000000001,0.0,0.188,0.021999999999999999,93.524000000000001,15.510999999999999,1.1639999999999999,0.124,107.39
Will Barton,203115.0,0.092999999999999999,0.52700000000000002,0.13100000000000001,0.48599999999999999,110.818,0.0,0.21099999999999999,0.036999999999999998,99.974999999999994,19.285,1.911,0.184,106.93000000000001
Nik Stauskas,203917.0,0.067000000000000004,0.53600000000000003,0.10000000000000001,0.496,107.063,0.0,0.16200000000000001,0.010999999999999999,100.346,18.283999999999999,1.212,0.13,102.705
Devin Booker,1626164.0,0.085000000000000006,0.52400000000000002,0.081000000000000003,0.46899999999999997,110.136,0.0,0.28299999999999997,0.017000000000000001,103.833,12.217000000000001,1.4419999999999999,0.16,105.60899999999999
Jerami Grant,203924.0,0.057000000000000002,0.58799999999999997,0.11899999999999999,0.55100000000000005,108.575,0.0,0.124,0.027,101.66,8.5850000000000009,0.21199999999999999,0.042000000000000003,100.762
James Jones,2592.0,0.097000000000000003,0.45500000000000002,0.123,0.42599999999999999,109.369,0.0,0.17399999999999999,0.0060000000000000001,94.171999999999997,4.7169999999999996,0.17299999999999999,0.029000000000000001,100.983
DeMarcus Cousins,202326.0,0.17699999999999999,0.55600000000000005,0.30299999999999999,0.49299999999999999,109.14100000000001,0.0,0.36299999999999999,0.070000000000000007,97.141999999999996,14.109999999999999,1.4570000000000001,0.26000000000000001,106.46299999999999
Michael Carter-Williams,203487.0,0.062,0.42199999999999999,0.14799999999999999,0.36099999999999999,102.867,0.0,0.20300000000000001,0.028000000000000001,98.950999999999993,24.021999999999998,1.1990000000000001,0.22,101.184
Caron Butler,2406.0,,,,,,,,,,,,,
Julius Randle,203944.0,0.108,0.52100000000000002,0.25700000000000001,0.48099999999999998,113.669,0.0,0.218,0.072999999999999995,101.10599999999999,18.853000000000002,1.5900000000000001,0.19,101.941
Marc Gasol,201188.0,0.14999999999999999,0.55000000000000004,0.187,0.498,106.011,0.0,0.26400000000000001,0.027,93.834999999999994,18.616,2.1640000000000001,0.23899999999999999,106.669
DJ White,201591.0,,,,,,,,,,,,,
Tony Parker,2225.0,0.091999999999999998,0.49399999999999999,0.075999999999999998,0.46200000000000002,103.758,0.0,0.214,0.0080000000000000002,93.338999999999999,27.481999999999999,1.913,0.27100000000000002,109.262
PJ Hairston,203798.0,,,,,,,,,,,,,
Richaun Holmes,1626158.0,0.114,0.62,0.188,0.60199999999999998,110.90900000000001,0.0,0.191,0.091999999999999998,100.494,9.7370000000000001,0.40799999999999997,0.085000000000000006,102.94
LeBron James,2544.0,0.188,0.626,0.20699999999999999,0.59899999999999998,106.03400000000001,0.0,0.29999999999999999,0.035999999999999997,98.304000000000002,24.457999999999998,2.6600000000000001,0.374,115.872
