,player,Age,Tm,G,MP,WS,GS,MP.1,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,paint_rebounding,id,3catch_and_shoot,pullupshoot
34,CJ Miles,29,IND,76,23.4,4.0,29,1776,13.7,0.632,0.144,1.9,12.4,7.2,4.1,1.3,1.2,5.5,18.4,115,111,2.7,1.4,0.109,1.5,-2.1,-0.5,0.7,0.158167,101139,1.15101,0.54102
35,CJ Watson,32,ORL,62,16.3,0.9,9,1012,9.3,0.423,0.266,1.7,8.1,4.8,16.1,2.1,0.2,14.5,14.1,103,112,0.2,0.6,0.041,-2.5,-1.1,-3.6,-0.4,0.1,201228,0.06384,0.855
36,Caris LeVert,22,BRK,57,21.7,1.8,26,1237,12.2,0.484,0.245,2.0,13.9,8.0,13.7,1.9,0.5,12.3,16.6,107,111,0.8,1.0,0.07,-0.7,-0.4,-1.1,0.3,0.02743,1627747,0.18942,1.03428
37,Carmelo Anthony,32,NYK,74,34.3,4.7,74,2538,17.9,0.303,0.263,2.6,15.9,9.3,14.5,1.2,1.1,9.0,29.1,108,113,3.2,1.5,0.089,1.5,-2.2,-0.7,0.8,0.109836,2546,0.27636,3.97358
38,Channing Frye,33,CLE,74,18.9,3.7,15,1398,15.6,0.644,0.142,3.0,19.3,11.4,4.9,1.2,2.1,8.8,19.3,115,109,2.3,1.4,0.125,0.8,-1.5,-0.6,0.5,0.1088,101112,1.08224,0.27816
39,Chris Paul,31,LAC,61,31.5,10.6,61,1921,26.2,0.385,0.331,2.5,14.9,8.8,46.8,3.1,0.3,14.0,24.4,126,106,8.0,2.6,0.264,7.8,1.0,8.7,5.2,0.028557,101108,0.04872,5.16594
40,Clint Capela,22,HOU,65,23.9,6.0,59,1551,21.4,0.0,0.314,12.5,24.5,18.5,6.9,1.1,4.2,12.0,19.9,122,106,3.9,2.1,0.185,0.0,1.0,1.0,1.2,0.237996,203991,0.0,0.02
41,Cody Zeller,24,CHO,62,27.8,5.6,58,1725,16.7,0.002,0.442,8.6,17.3,12.9,9.1,1.8,3.0,10.9,15.5,121,107,3.4,2.2,0.157,-0.2,2.3,2.1,1.8,0.258852,203469,0.0,0.11281
42,Corey Brewer,30,TOT,82,15.6,1.2,11,1281,9.1,0.339,0.195,2.7,11.5,7.1,10.7,2.3,1.2,12.7,14.3,101,110,0.0,1.2,0.045,-2.9,0.2,-2.7,-0.2,0.03696,201147,0.0936,0.1576
43,Cory Joseph,25,TOR,80,25.0,3.4,22,2003,13.2,0.204,0.185,2.9,10.4,6.6,20.0,1.7,0.6,13.1,18.4,108,110,1.7,1.7,0.082,-0.4,-0.4,-0.8,0.6,0.126984,202709,0.08372,1.23778
44,Courtney Lee,31,NYK,77,31.9,4.2,74,2459,12.1,0.382,0.139,2.3,9.1,5.7,10.6,1.6,0.8,8.5,14.4,115,114,3.1,1.1,0.081,0.5,-0.7,-0.2,1.1,0.085228,201584,0.40138,1.5504
45,Cristiano Felicio,24,CHI,66,15.8,3.4,0,1040,15.2,0.0,0.419,12.8,19.5,16.1,5.7,1.2,1.2,11.2,12.4,126,107,2.1,1.3,0.157,-0.6,0.5,-0.1,0.5,0.227129,1626245,0.0,0.06216
46,D'Angelo Russell,20,LAL,63,28.7,1.3,60,1811,15.3,0.443,0.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,101,113,0.3,1.0,0.034,1.1,-1.6,-0.5,0.7,0.037884,1626156,0.24973,2.82968
47,DJ Augustin,29,ORL,78,19.7,1.2,20,1538,11.0,0.53,0.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4,104,115,0.7,0.5,0.038,-0.9,-3.3,-4.2,-0.9,0.222,201571,0.20659,1.20304
48,Damian Lillard,26,POR,75,35.9,10.3,75,2694,24.1,0.388,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,118,113,8.8,1.5,0.184,6.4,-2.0,4.3,4.3,0.090207,203081,0.15481,4.12595
49,Danilo Gallinari,28,DEN,63,33.9,6.9,63,2134,17.4,0.432,0.516,2.0,14.7,8.4,9.1,0.9,0.5,8.1,19.9,126,115,6.2,0.7,0.154,2.9,-2.1,0.8,1.5,0.088032,201568,0.60144,1.16116
50,Danny Green,29,SAS,68,26.6,3.4,68,1807,10.2,0.693,0.071,2.0,11.8,7.0,9.6,2.0,2.6,14.1,13.5,103,104,0.4,3.0,0.09,-0.3,2.7,2.4,2.0,0.081088,201980,0.89832,0.55993
51,Dante Cunningham,29,NOP,66,25.0,3.0,35,1649,10.2,0.504,0.075,3.6,14.2,8.9,3.1,1.2,1.4,7.0,10.7,114,109,1.4,1.6,0.088,-1.3,0.8,-0.5,0.6,0.094535,201967,0.51516,0.0384
52,Dante Exum,21,UTA,66,18.6,1.2,26,1228,8.6,0.41,0.201,2.9,9.3,6.2,14.2,0.9,0.8,16.8,18.1,100,109,-0.1,1.3,0.047,-2.0,-0.5,-2.5,-0.1,0.1785,203957,0.2272,0.09744
53,Dario Saric,22,PHI,81,26.3,1.0,36,2129,12.8,0.368,0.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,96,109,-1.2,2.2,0.023,-2.0,-0.2,-2.2,-0.1,0.153768,203967,0.36888,0.56055
54,Darren Collison,29,SAC,68,30.3,3.9,64,2063,15.3,0.245,0.239,1.3,7.2,4.3,24.5,1.6,0.4,12.6,19.8,113,114,3.1,0.8,0.091,0.8,-2.3,-1.5,0.3,0.10725,201954,0.12798,2.09643
55,David Lee,33,SAS,79,18.7,5.7,10,1477,18.4,0.0,0.269,11.6,21.9,16.9,13.0,1.1,2.2,14.9,16.9,120,103,3.2,2.5,0.186,0.7,2.5,3.2,1.9,0.218784,101135,0.0,0.1274
56,David West,36,GSW,68,12.6,2.6,0,854,16.6,0.032,0.222,6.4,18.8,13.0,24.1,2.4,4.4,22.0,17.9,109,100,0.9,1.7,0.148,-1.7,3.9,2.2,0.9,0.214855,2561,0.00112,0.07506
57,Davis Bertans,24,SAS,67,12.1,2.3,6,808,12.9,0.739,0.145,3.2,10.6,6.9,8.3,1.3,2.8,11.4,15.7,115,105,1.1,1.2,0.135,1.2,0.5,1.7,0.8,0.26775,202722,0.6499,0.18759
58,DeAndre Jordan,28,LAC,81,31.7,11.8,81,2570,21.8,0.003,0.737,13.3,34.6,24.2,5.7,1.0,4.3,13.2,15.3,129,102,7.2,4.6,0.22,1.0,3.0,4.0,3.9,0.18216,201599,0.0,0.0
59,DeAndre Liggins,28,TOT,62,12.5,0.5,19,777,7.5,0.324,0.282,2.9,12.2,7.7,9.2,3.0,1.5,20.8,11.6,92,107,-0.4,0.9,0.031,-3.9,1.8,-2.1,0.0,0.064963,202732,0.07514,0.07332
60,DeMar DeRozan,27,TOR,74,35.4,9.0,74,2620,24.0,0.08,0.419,3.0,13.6,8.3,20.6,1.5,0.4,9.0,34.3,113,110,6.7,2.4,0.166,2.4,-1.5,0.9,1.9,0.18375,201942,0.01683,4.69372
61,DeMarcus Cousins,26,TOT,72,34.2,7.6,72,2465,25.7,0.254,0.468,7.1,29.2,18.2,25.8,2.0,3.3,13.5,36.5,107,105,3.8,3.8,0.149,3.9,2.6,6.6,5.3,0.11508,202326,0.31977,1.03224
62,DeMarre Carroll,30,TOR,72,26.1,3.8,72,1882,11.9,0.583,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.3,15.5,110,108,1.7,2.1,0.097,0.6,0.4,1.0,1.4,0.123888,201960,0.71955,0.43576
63,Dennis Schroder,23,ATL,79,31.5,3.7,78,2485,16.1,0.242,0.21,1.9,9.0,5.5,35.5,1.5,0.6,16.3,27.8,103,109,1.2,2.5,0.071,0.7,-1.4,-0.7,0.8,0.131712,203471,0.09375,2.12065
64,Denzel Valentine,23,CHI,57,17.1,0.6,0,976,7.3,0.722,0.063,1.2,15.6,8.3,9.3,1.5,0.6,14.2,15.4,95,108,-0.5,1.1,0.031,-2.4,-0.4,-2.8,-0.2,0.040404,1627756,0.4896,0.63984
65,Deron Williams,32,TOT,64,25.9,2.4,44,1657,14.0,0.39,0.182,0.9,9.4,5.1,35.9,1.0,0.4,17.6,22.1,106,113,1.5,0.9,0.069,0.2,-2.4,-2.3,-0.1,0.050505,101114,0.20967,1.9521
66,Derrick Favors,25,UTA,50,23.7,2.7,39,1186,15.8,0.024,0.261,9.2,20.2,14.9,7.9,2.0,2.7,11.4,20.7,104,102,0.5,2.2,0.109,-2.4,2.3,-0.1,0.6,0.201664,202324,0.00144,0.08018
67,Derrick Rose,28,NYK,64,32.5,3.0,64,2082,17.0,0.061,0.259,3.4,9.3,6.4,22.8,1.1,0.7,11.9,25.7,108,115,2.4,0.6,0.068,0.2,-2.2,-1.9,0.0,0.133878,201565,0.0052,2.33387
68,Derrick Williams,25,TOT,50,16.1,1.1,11,804,10.6,0.398,0.365,2.6,15.1,8.9,5.1,0.9,0.7,9.0,17.2,106,111,0.4,0.6,0.064,-2.4,-1.8,-4.2,-0.4,0.0735,202682,0.1768,0.3598
69,Devin Booker,20,PHO,78,35.0,2.0,78,2730,14.6,0.283,0.308,1.8,8.3,5.0,16.3,1.3,0.6,12.9,28.6,103,116,1.4,0.6,0.035,0.4,-2.7,-2.3,-0.2,0.091875,1626164,0.21177,3.30416
70,Devin Harris,33,DAL,65,16.7,2.2,0,1087,13.8,0.519,0.378,1.1,13.0,6.8,20.0,2.1,0.6,12.5,19.7,108,109,1.1,1.1,0.096,-0.1,-0.3,-0.4,0.4,0.094,2734,0.24771,0.52264
71,Dewayne Dedmon,27,SAS,76,17.5,5.2,37,1330,16.0,0.0,0.359,11.2,30.5,21.1,4.8,1.4,3.7,16.9,12.3,122,99,2.2,3.0,0.188,-1.5,3.2,1.7,1.2,0.16272,203473,0.0,0.01
72,Dirk Nowitzki,38,DAL,54,26.4,2.5,54,1424,17.0,0.308,0.165,1.8,28.3,14.4,10.6,1.1,2.4,6.6,25.8,103,106,0.6,1.9,0.084,-1.6,0.3,-1.3,0.2,0.111629,1717,0.37944,1.19019
73,Domantas Sabonis,20,OKC,81,20.1,0.7,66,1632,6.9,0.331,0.139,3.0,16.4,9.7,7.2,1.2,1.6,14.0,15.4,93,108,-1.0,1.8,0.022,-4.7,-0.1,-4.9,-1.2,0.17479,1627734,0.19964,0.08227
74,Dorian Finney-Smith,23,DAL,81,20.3,1.4,35,1642,7.7,0.574,0.183,3.7,12.3,7.8,6.0,1.6,1.4,11.1,11.6,99,110,-0.1,1.5,0.041,-2.8,1.3,-1.5,0.2,0.150024,1627827,0.36856,0.1124
