,player,id,3catch_and_shoot,pullupshoot,paint_rebounding
214,Joe Ingles,204060,0.49952,0.6645,
215,Tony Snell,203503,1.07358,0.33226,
216,Tarik Black,204028,0.0,0.0375,
217,Dante Exum,203957,0.2272,0.09744,
218,Markieff Morris,202693,0.18128,0.816,
219,Alex Len,203458,0.0008,0.04066,
220,Buddy Hield,1627741,0.38308,1.6848,
221,Timofey Mozgov,202389,0.0,0.0375,
222,Greg Monroe,202328,0.0,0.03696,
223,Brandon Ingram,1627742,0.13511,1.01388,
224,Mindaugas Kuzminskas,1627851,0.25674,0.20776,
225,Noah Vonleh,203943,0.00472,0.04672,
226,Matthew Dellavedova,203521,0.23244,0.95493,
227,D'Angelo Russell,1626156,0.24973,2.82968,
228,Blake Griffin,201933,0.04784,1.1144,
229,Langston Galloway,204038,0.69825,0.77504,
230,Marvin Williams,101107,0.76788,0.27778,
231,Paul George,202331,0.5481,3.37722,
232,Dante Cunningham,201967,0.51516,0.0384,
233,Tristan Thompson,202684,0.0,0.05,
234,Evan Turner,202323,0.0703,1.5862,
235,James Ennis,203516,0.23651,0.27522,
236,Devin Booker,1626164,0.21177,3.30416,
237,Kristaps Porzingis,204001,0.47173,1.38838,
238,Manu Ginobili,1938,0.34689,0.72912,
239,Cristiano Felicio,1626245,0.0,0.06216,
240,Jon Leuer,202720,0.1664,0.49368,
241,Kentavious Caldwell-Pope,203484,0.41208,2.1648,
242,Gary Harris,203914,0.561,0.68835,
243,Deron Williams,101114,0.20967,1.9521,
244,Evan Fournier,203095,0.36314,1.52292,
245,Semaj Christon,203902,0.03392,0.39,
246,Shabazz Muhammad,203498,0.13456,0.3649,
247,Willie Cauley-Stein,1626161,0.0,0.23874,
248,Victor Oladipo,203506,0.51834,1.81482,
249,Bobby Portis,1626171,0.1205,0.40626,
250,Marreese Speights,201578,0.58806,0.23922,
251,Ty Lawson,201951,0.04672,1.34725,
252,Brandon Knight,202688,0.05586,1.83658,
253,Wesley Johnson,202325,0.23083,0.20041,
254,Mike Muscala,203488,0.2048,0.06574,
255,CJ Watson,201228,0.06384,0.855,
256,Ian Clark,203546,0.19244,0.73515,
257,Patrick Beverley,201976,0.47864,0.68068,
258,Jakob Poeltl,1627751,0.0,0.0,
259,Tobias Harris,202699,0.35991,1.49301,
260,Jordan Clarkson,203903,0.15372,2.01958,
261,Ron Baker,1627758,0.10032,0.404,
262,Karl-Anthony Towns,1626157,0.1914,0.44958,
263,Danilo Gallinari,201568,0.60144,1.16116,
264,Leandro Barbosa,2571,0.0722,0.816,
265,Anthony Tolliver,201229,0.87954,0.06292,
266,Kelly Olynyk,203482,0.29319,0.29853,
267,Derrick Favors,202324,0.00144,0.08018,
268,Lou Williams,101150,0.18109,2.3511,
269,Eric Gordon,201569,1.176,1.5264,
270,Dario Saric,203967,0.36888,0.56055,
271,Marcin Gortat,101162,0.0,0.13416,
272,Jrue Holiday,201950,0.03204,2.84076,
273,Terrence Jones,203093,0.0372,0.1841,
274,Taurean Prince,1627752,0.14504,0.26973,
275,Allen Crabbe,203459,0.70146,0.81012,
276,Bismack Biyombo,202687,0.0,0.024,
277,Taj Gibson,201959,0.00072,0.09065,
278,Clint Capela,203991,0.0,0.02,
279,TJ Warren,203933,0.03502,1.50902,
280,Caris LeVert,1627747,0.18942,1.03428,
281,Anthony Davis,203076,0.04182,1.93536,
282,Danny Green,201980,0.89832,0.55993,
283,Isaiah Whitehead,1627785,0.06636,0.5684,
284,Al-Farouq Aminu,202329,0.47952,0.20544,
285,Josh Richardson,1626196,0.48125,1.21672,
286,Nikola Mirotic,202703,0.856,0.60116,
287,Aaron Gordon,203932,0.1628,1.05141,
288,Tyler Zeller,203092,0.0,0.06,
289,Montrezl Harrell,1626149,0.0,0.0935,
290,Justin Holiday,203200,0.48018,0.64525,
291,Jaylen Brown,1627759,0.14958,0.288,
292,Doug McDermott,203926,0.44352,0.79655,
293,Trey Lyles,1626168,0.36034,0.33813,
294,Dirk Nowitzki,1717,0.37944,1.19019,
295,Ben McLemore,203463,0.273,0.76995,
296,Patrick McCaw,1627775,0.20064,0.20628,
297,DeMar DeRozan,201942,0.01683,4.69372,
298,Dorian Finney-Smith,1627827,0.36856,0.1124,
299,Russell Westbrook,201566,0.05005,5.4366,
300,Steven Adams,203500,0.0,0.01232,
301,Garrett Temple,202066,0.47824,0.66978,
302,Jae Crowder,203109,0.76208,1.04204,
