,player,id,rim_defense
240,Jon Leuer,202720,0.031
241,Kentavious Caldwell-Pope,203484,0.089
242,Gary Harris,203914,0.107
243,Deron Williams,101114,0.084
244,Evan Fournier,203095,0.029
245,Semaj Christon,203902,0.088
246,Shabazz Muhammad,203498,-0.016
247,Willie Cauley-Stein,1626161,-0.024
248,Victor Oladipo,203506,0.038
249,Bobby Portis,1626171,0.032
250,Marreese Speights,201578,0.026
251,Ty Lawson,201951,0.06
252,Brandon Knight,202688,0.129
253,Wesley Johnson,202325,-0.025
254,Mike Muscala,203488,-0.072
255,CJ Watson,201228,0.153
256,Ian Clark,203546,0.169
257,Patrick Beverley,201976,0.077
258,Jakob Poeltl,1627751,0.017
259,Tobias Harris,202699,0.02
260,Jordan Clarkson,203903,0.117
261,Ron Baker,1627758,-0.076
262,Karl-Anthony Towns,1626157,-0.021
263,Danilo Gallinari,201568,0.065
264,Leandro Barbosa,2571,0.024
265,Anthony Tolliver,201229,0.082
266,Kelly Olynyk,203482,0.0
267,Derrick Favors,202324,-0.081
268,Lou Williams,101150,0.12
269,Eric Gordon,201569,0.039
270,Dario Saric,203967,-0.016
271,Marcin Gortat,101162,-0.017
272,Jrue Holiday,201950,0.033
273,Terrence Jones,203093,0.018
274,Taurean Prince,1627752,-0.065
275,Allen Crabbe,203459,0.076
276,Bismack Biyombo,202687,-0.015
277,Taj Gibson,201959,-0.081
278,Clint Capela,203991,-0.037
279,TJ Warren,203933,0.04
280,Caris LeVert,1627747,0.043
281,Anthony Davis,203076,-0.078
282,Danny Green,201980,0.02
283,Isaiah Whitehead,1627785,0.021
284,Al-Farouq Aminu,202329,-0.073
285,Josh Richardson,1626196,-0.059
286,Nikola Mirotic,202703,-0.027
287,Aaron Gordon,203932,-0.025
288,Tyler Zeller,203092,-0.037
289,Montrezl Harrell,1626149,0.019
290,Justin Holiday,203200,0.054
291,Jaylen Brown,1627759,-0.028
292,Doug McDermott,203926,0.028
293,Trey Lyles,1626168,-0.028
294,Dirk Nowitzki,1717,-0.052
295,Ben McLemore,203463,-0.041
296,Patrick McCaw,1627775,0.057
297,DeMar DeRozan,201942,0.085
298,Dorian Finney-Smith,1627827,0.029
299,Russell Westbrook,201566,0.066
300,Steven Adams,203500,-0.001
301,Garrett Temple,202066,0.072
302,Jae Crowder,203109,0.065
